Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
North America,112.06,118.72,140.78,190.13,237.73,276.67,379.95,494.23,676.28,768.50,888.30
Bermuda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Canada,4.50,4.50,4.50,4.90,4.90,6.00,5.40,21.60,25.70,27.81,34.20
Greenland,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mexico,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.10,0.40
Saint Pierre and Miquelon,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
United States,107.56,114.22,136.28,185.23,232.83,270.67,374.55,472.53,650.48,740.58,853.70
Central & South America,168.09,142.60,161.39,145.34,178.32,184.39,201.68,275.61,364.37,438.08,455.47
Antarctica,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Antigua and Barbuda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Argentina,0.10,0.20,0.20,0.20,0.20,0.30,0.30,0.30,0.30,0.55,11.90
Aruba,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Bahamas, The",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Barbados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Belize,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bolivia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brazil,166.85,141.38,160.17,144.02,177.12,181.96,195.23,268.48,355.65,420.27,424.34
Cayman Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chile,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Colombia,0.00,0.00,0.00,0.00,0.00,0.50,4.60,4.80,5.80,11.30,12.00
Costa Rica,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.50,0.50
Cuba,1.10,1.00,1.00,1.10,1.00,1.00,0.70,0.40,0.30,0.30,0.30
Dominica,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dominican Republic,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ecuador,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20
El Salvador,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Falkland Islands (Islas Malvinas),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
French Guiana,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Grenada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guadeloupe,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guatemala,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01
Guyana,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Haiti,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Honduras,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02
Jamaica,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,1.00,1.00
Martinique,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Montserrat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Netherlands Antilles,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nicaragua,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Panama,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Paraguay,0.04,0.02,0.02,0.02,0.00,0.60,0.80,1.10,1.60,2.00,2.40
Peru,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.50,2.00,2.50
Puerto Rico,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saint Kitts and Nevis,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saint Lucia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
