Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41.00,Yes,Travel_Rarely,1102.00,Sales,1.00,2.00,Life Sciences,1.00,1.00,2.00,Female,94.00,3.00,2.00,Sales Executive,4.00,Single,5993.00,19479.00,8.00,Y,Yes,11.00,3.00,1.00,80.00,0.00,8.00,0.00,1.00,6.00,4.00,0.00,5.00
49.00,No,Travel_Frequently,279.00,Research & Development,8.00,1.00,Life Sciences,1.00,2.00,3.00,Male,61.00,2.00,2.00,Research Scientist,2.00,Married,5130.00,24907.00,1.00,Y,No,23.00,4.00,4.00,80.00,1.00,10.00,3.00,3.00,10.00,7.00,1.00,7.00
37.00,Yes,Travel_Rarely,1373.00,Research & Development,2.00,2.00,Other,1.00,4.00,4.00,Male,92.00,2.00,1.00,Laboratory Technician,3.00,Single,2090.00,2396.00,6.00,Y,Yes,15.00,3.00,2.00,80.00,0.00,7.00,3.00,3.00,0.00,0.00,0.00,0.00
33.00,No,Travel_Frequently,1392.00,Research & Development,3.00,4.00,Life Sciences,1.00,5.00,4.00,Female,56.00,3.00,1.00,Research Scientist,3.00,Married,2909.00,23159.00,1.00,Y,Yes,11.00,3.00,3.00,80.00,0.00,8.00,3.00,3.00,8.00,7.00,3.00,0.00
27.00,No,Travel_Rarely,591.00,Research & Development,2.00,1.00,Medical,1.00,7.00,1.00,Male,40.00,3.00,1.00,Laboratory Technician,2.00,Married,3468.00,16632.00,9.00,Y,No,12.00,3.00,4.00,80.00,1.00,6.00,3.00,3.00,2.00,2.00,2.00,2.00
32.00,No,Travel_Frequently,1005.00,Research & Development,2.00,2.00,Life Sciences,1.00,8.00,4.00,Male,79.00,3.00,1.00,Laboratory Technician,4.00,Single,3068.00,11864.00,0.00,Y,No,13.00,3.00,3.00,80.00,0.00,8.00,2.00,2.00,7.00,7.00,3.00,6.00
59.00,No,Travel_Rarely,1324.00,Research & Development,3.00,3.00,Medical,1.00,10.00,3.00,Female,81.00,4.00,1.00,Laboratory Technician,1.00,Married,2670.00,9964.00,4.00,Y,Yes,20.00,4.00,1.00,80.00,3.00,12.00,3.00,2.00,1.00,0.00,0.00,0.00
30.00,No,Travel_Rarely,1358.00,Research & Development,24.00,1.00,Life Sciences,1.00,11.00,4.00,Male,67.00,3.00,1.00,Laboratory Technician,3.00,Divorced,2693.00,13335.00,1.00,Y,No,22.00,4.00,2.00,80.00,1.00,1.00,2.00,3.00,1.00,0.00,0.00,0.00
38.00,No,Travel_Frequently,216.00,Research & Development,23.00,3.00,Life Sciences,1.00,12.00,4.00,Male,44.00,2.00,3.00,Manufacturing Director,3.00,Single,9526.00,8787.00,0.00,Y,No,21.00,4.00,2.00,80.00,0.00,10.00,2.00,3.00,9.00,7.00,1.00,8.00
36.00,No,Travel_Rarely,1299.00,Research & Development,27.00,3.00,Medical,1.00,13.00,3.00,Male,94.00,3.00,2.00,Healthcare Representative,3.00,Married,5237.00,16577.00,6.00,Y,No,13.00,3.00,2.00,80.00,2.00,17.00,3.00,2.00,7.00,7.00,7.00,7.00
35.00,No,Travel_Rarely,809.00,Research & Development,16.00,3.00,Medical,1.00,14.00,1.00,Male,84.00,4.00,1.00,Laboratory Technician,2.00,Married,2426.00,16479.00,0.00,Y,No,13.00,3.00,3.00,80.00,1.00,6.00,5.00,3.00,5.00,4.00,0.00,3.00
29.00,No,Travel_Rarely,153.00,Research & Development,15.00,2.00,Life Sciences,1.00,15.00,4.00,Female,49.00,2.00,2.00,Laboratory Technician,3.00,Single,4193.00,12682.00,0.00,Y,Yes,12.00,3.00,4.00,80.00,0.00,10.00,3.00,3.00,9.00,5.00,0.00,8.00
31.00,No,Travel_Rarely,670.00,Research & Development,26.00,1.00,Life Sciences,1.00,16.00,1.00,Male,31.00,3.00,1.00,Research Scientist,3.00,Divorced,2911.00,15170.00,1.00,Y,No,17.00,3.00,4.00,80.00,1.00,5.00,1.00,2.00,5.00,2.00,4.00,3.00
34.00,No,Travel_Rarely,1346.00,Research & Development,19.00,2.00,Medical,1.00,18.00,2.00,Male,93.00,3.00,1.00,Laboratory Technician,4.00,Divorced,2661.00,8758.00,0.00,Y,No,11.00,3.00,3.00,80.00,1.00,3.00,2.00,3.00,2.00,2.00,1.00,2.00
28.00,Yes,Travel_Rarely,103.00,Research & Development,24.00,3.00,Life Sciences,1.00,19.00,3.00,Male,50.00,2.00,1.00,Laboratory Technician,3.00,Single,2028.00,12947.00,5.00,Y,Yes,14.00,3.00,2.00,80.00,0.00,6.00,4.00,3.00,4.00,2.00,0.00,3.00
29.00,No,Travel_Rarely,1389.00,Research & Development,21.00,4.00,Life Sciences,1.00,20.00,2.00,Female,51.00,4.00,3.00,Manufacturing Director,1.00,Divorced,9980.00,10195.00,1.00,Y,No,11.00,3.00,3.00,80.00,1.00,10.00,1.00,3.00,10.00,9.00,8.00,8.00
32.00,No,Travel_Rarely,334.00,Research & Development,5.00,2.00,Life Sciences,1.00,21.00,1.00,Male,80.00,4.00,1.00,Research Scientist,2.00,Divorced,3298.00,15053.00,0.00,Y,Yes,12.00,3.00,4.00,80.00,2.00,7.00,5.00,2.00,6.00,2.00,0.00,5.00
22.00,No,Non-Travel,1123.00,Research & Development,16.00,2.00,Medical,1.00,22.00,4.00,Male,96.00,4.00,1.00,Laboratory Technician,4.00,Divorced,2935.00,7324.00,1.00,Y,Yes,13.00,3.00,2.00,80.00,2.00,1.00,2.00,2.00,1.00,0.00,0.00,0.00
