FIPS,State,State abr.,County,metro03,TotEmpEst,TotEmpSE,CCEst,CCSE,CCShare,CCShareSE,BohEST,BohSE,BohShare,BohShareSE,TotEmpRME,CCRME,BohRME,CCShareRME,BohShareRME
1001,Alabama,AL,Autauga County,1,24140,390.27,5680,318.54,0.23529,0.01264,140,40.73,0.0058,0.00168,642,524,67,0.02079,0.00277
1003,Alabama,AL,Baldwin County,0,79965,910.03,20535,637.08,0.2568,0.00741,835,137.99,0.010442,0.00172,1497,1048,227,0.01219,0.00283
1005,Alabama,AL,Barbour County,0,9635,369.6,1485,155.62,0.15413,0.01503,45,25.53,0.00467,0.00264,608,256,42,0.02473,0.00435
1007,Alabama,AL,Bibb County,1,9355,319.76,1355,203.65,0.14484,0.0212,15,15.81,0.001603,0.00169,526,335,26,0.03487,0.00278
1009,Alabama,AL,Blount County,1,24175,433.43,4090,288.15,0.16918,0.01153,95,46.81,0.00393,0.00193,713,474,77,0.01896,0.00318
1011,Alabama,AL,Bullock County,0,4005,286.93,590,146.5,0.14732,0.03502,4,3.04,0.000999,0.00076,472,241,5,0.05762,0.00124
1013,Alabama,AL,Butler County,0,8075,266.26,1175,145.9,0.14551,0.01742,35,22.49,0.004334,0.00278,438,240,37,0.02865,0.00458
1015,Alabama,AL,Calhoun County,1,47595,609.73,9110,337.99,0.19141,0.00666,350,96.66,0.007354,0.00203,1003,556,159,0.01096,0.00334
1017,Alabama,AL,Chambers County,0,13570,322.19,2230,139.21,0.16433,0.00949,65,29.79,0.00479,0.00219,530,229,49,0.01561,0.00361
1019,Alabama,AL,Cherokee County,0,10370,288.75,2025,217.02,0.19527,0.02021,4,54.1,0.000386,0.00522,475,357,89,0.03324,0.00858
1021,Alabama,AL,Chilton County,1,18050,385.41,3440,206.69,0.19058,0.0107,25,17.02,0.001385,0.00094,634,340,28,0.01761,0.00155
1023,Alabama,AL,Choctaw County,0,4440,173.25,670,77.81,0.1509,0.01651,4,6.69,0.000901,0.00151,285,128,11,0.02715,0.00248
1025,Alabama,AL,Clarke County,0,8490,305.17,1605,203.04,0.18905,0.02293,130,72.34,0.015312,0.0085,502,334,119,0.03772,0.01399
1027,Alabama,AL,Clay County,0,5610,211.55,650,91.79,0.11586,0.01577,20,15.81,0.003565,0.00281,348,151,26,0.02594,0.00463
1029,Alabama,AL,Cleburne County,0,5995,232.83,865,101.52,0.14429,0.01598,10,9.73,0.001668,0.00162,383,167,16,0.02629,0.00267
1031,Alabama,AL,Coffee County,0,19380,349.54,3680,232.22,0.18989,0.01148,45,23.1,0.002322,0.00119,575,382,38,0.01889,0.00196
1033,Alabama,AL,Colbert County,1,22320,400.61,3640,244.98,0.16308,0.01058,150,56.53,0.00672,0.00253,659,403,93,0.0174,0.00416
1035,Alabama,AL,Conecuh County,0,4030,297.87,745,139.21,0.18486,0.03173,20,20.67,0.004963,0.00512,490,229,34,0.05219,0.00842
1037,Alabama,AL,Coosa County,0,4425,189.67,465,79.64,0.10508,0.01742,20,13.98,0.00452,0.00315,312,131,23,0.02866,0.00519
1039,Alabama,AL,Covington County,0,15320,357.45,2660,244.38,0.17363,0.01543,75,23.1,0.004896,0.0015,588,402,38,0.02538,0.00247
1041,Alabama,AL,Crenshaw County,0,5885,155.02,1045,106.38,0.17757,0.01746,4,8.51,0.00068,0.00145,255,175,14,0.02872,0.00238
